episode,step,cat_id,state_mean,state_std,action_idx,intent,reward,done,next_state_mean,next_state_std
2,154,orange,0.030287,0.137762,0,idle_wander,0.0,False,0.029846,0.13659
2,155,orange,0.032477,0.149829,0,idle_wander,0.0,False,0.032036,0.148674
2,156,orange,0.078519,0.94876,0,idle_wander,0.0,False,0.078646,0.948802
2,157,orange,0.029846,0.13659,0,idle_wander,0.0,False,0.029974,0.136915
2,158,orange,0.032036,0.148674,0,idle_wander,0.0,False,0.032355,0.149567
2,159,orange,0.078646,0.948802,0,idle_wander,0.0,False,0.078583,0.948779
2,160,orange,0.029974,0.136915,0,idle_wander,0.0,False,0.029872,0.136735
2,161,orange,0.032355,0.149567,0,idle_wander,0.0,False,0.032246,0.149334
2,162,orange,0.078583,0.948779,0,idle_wander,0.0,False,0.032921,0.973493
2,163,orange,0.029872,0.136735,14,stare_at_window,0.0,False,0.030193,0.137797
2,164,orange,0.032246,0.149334,14,stare_at_window,0.0,False,0.032507,0.15016
2,165,orange,0.032921,0.973493,0,idle_wander,0.0,False,0.078622,0.948791
2,166,orange,0.030193,0.137797,0,idle_wander,0.0,False,0.029917,0.136908
2,167,orange,0.032507,0.15016,0,idle_wander,0.0,False,0.032194,0.149293
2,168,orange,0.078622,0.948791,0,idle_wander,0.0,False,0.0786,0.948781
2,169,orange,0.029917,0.136908,0,idle_wander,0.0,False,0.029884,0.136825
2,170,orange,0.032194,0.149293,14,stare_at_window,0.0,False,0.032126,0.149165
2,171,orange,0.0786,0.948781,8,hide,0.0,False,0.042738,0.929404
2,172,orange,0.029884,0.136825,0,idle_wander,0.0,False,0.029908,0.136907
2,173,orange,0.032126,0.149165,14,stare_at_window,0.0,False,0.032114,0.149191
2,174,orange,0.042738,0.929404,8,hide,0.0,False,0.042624,0.929354
2,175,orange,0.029908,0.136907,4,sleep,0.3,False,0.03097,0.140921
2,176,orange,0.032114,0.149191,4,sleep,0.0,False,0.032216,0.149528
2,177,orange,0.042624,0.929354,8,hide,0.0,False,0.042924,0.929494
2,178,orange,0.03097,0.140921,0,idle_wander,0.0,False,0.03126,0.14176
